n_neighbors,weights,metric,recall,accuracy,precision,f1,train_time,pred_time
150,uniform,chebyshev,0.98,0.8439285714285714,0.8225952380952382,0.8906169386169387,0.0005483770370483398,0.005849075317382812
139,uniform,chebyshev,0.98,0.8439285714285714,0.8225952380952382,0.8906169386169387,0.0005912160873413085,0.006463580131530762
8,uniform,chebyshev,0.976,0.9467857142857143,0.948952380952381,0.9598181818181818,0.0005363750457763671,0.005965437889099121
96,uniform,chebyshev,0.976,0.8714285714285714,0.8546190476190476,0.9073535353535352,0.00046051025390625,0.004847316741943359
109,uniform,chebyshev,0.976,0.8614285714285714,0.8422380952380953,0.9003838383838384,0.0005905628204345703,0.0060070943832397465
123,uniform,chebyshev,0.976,0.8514285714285714,0.8317619047619048,0.8940202020202019,0.0005977106094360352,0.006377959251403808
1,uniform,manhattan,0.9640000000000001,0.955,0.9686666666666668,0.9637171717171716,0.0006185531616210938,0.006225743293762207
2,distance,euclidean,0.9640000000000001,0.9417857142857143,0.9529523809523809,0.9549292929292931,0.000591435432434082,0.0063058042526245115
4,uniform,chebyshev,0.96,0.9392857142857143,0.9532380952380951,0.953050505050505,0.0006289148330688477,0.006262383460998535
1,uniform,chebyshev,0.956,0.9325,0.9446190476190476,0.9464444444444444,0.0005798196792602539,0.005861201286315918
2,uniform,chebyshev,0.92,0.9175,0.9546190476190475,0.9313434343434344,0.000507817268371582,0.005035552978515625
